Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Developmental Neurobiology,"Mahendra S. Rao, Marcus Jacobson",4th ed. 2005,Graduate/advanced undergraduate textbook,2005,Springer-Verlag US,978-0-306-48330-1,978-0-387-28117-9,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/0-387-28117-7,http://link.springer.com/openurl?genre=book&isbn=978-0-387-28117-9,Biomedicine; Neurosciences; Anatomy; Neurobiology,Springer US,Springer
Handbook of Biological Confocal Microscopy,James Pawley,3rd ed. 2006,Graduate/advanced undergraduate textbook,2006,Springer-Verlag US,978-0-387-25921-5,978-0-387-45524-2,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-0-387-45524-2,http://link.springer.com/openurl?genre=book&isbn=978-0-387-45524-2,"Life Sciences; Biochemistry, general; Biotechnology",Springer US,Springer
Fundamentals of Biomechanics,Duane Knudson,2nd ed. 2007,Graduate/advanced undergraduate textbook,2007,Springer-Verlag US,978-0-387-49311-4,978-0-387-49312-1,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-0-387-49312-1,http://link.springer.com/openurl?genre=book&isbn=978-0-387-49312-1,"Biomedicine; Human Physiology; Biological and Medical Physics, Biophysics; Biomedical Engineering; Sports Medicine",Springer US,Springer
Plant Physiological Ecology,"Hans Lambers, F Stuart Chapin III, Thijs L. Pons",2nd ed. 2008,Graduate/advanced undergraduate textbook,2008,Springer-Verlag New York,978-0-387-78340-6,978-0-387-78341-3,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-0-387-78341-3,http://link.springer.com/openurl?genre=book&isbn=978-0-387-78341-3,Life Sciences; Plant Ecology; Plant Physiology; Plant Sciences; Ecology; Plant Anatomy/Development; Ecosystems,Springer New York,Springer
The Joy of Science,Richard A. Lockshin,2007,Graduate/advanced undergraduate textbook,2007,Springer Science+Business Media B.V.,978-1-4020-6098-4,978-1-4020-6099-1,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-1-4020-6099-1,http://link.springer.com/openurl?genre=book&isbn=978-1-4020-6099-1,"Biomedicine; Biomedicine, general; Evolutionary Biology; Microbial Genetics and Genomics; Popular Science in Nature and Environment",Springer Netherlands,Springer
Metabolism of Human Diseases,"Eckhard Lammert, Martin Zeeb",2014,Graduate/advanced undergraduate textbook,2014,Springer-Verlag Wien,978-3-7091-0714-0,978-3-7091-0715-7,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-3-7091-0715-7,http://link.springer.com/openurl?genre=book&isbn=978-3-7091-0715-7,"Biomedicine; Human Physiology; Metabolic Diseases; Biochemistry, general; Metabolomics",Springer Vienna,Springer
Integrative Human Biochemistry,"Andrea T. da Poian, Miguel A. R. B. Castanho",1st ed. 2015,Undergraduate textbook,2015,Springer Science+Business Media New York,978-1-4939-3057-9,978-1-4939-3058-6,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-1-4939-3058-6,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-3058-6,Biomedicine; Human Physiology; Medical Biochemistry; Animal Biochemistry; Medicinal Chemistry,Springer New York,Springer
Integrated Neuroscience,"Elliott M. Marcus, Stanley Jacobson",2003,Graduate/advanced undergraduate textbook,2003,Springer Science+Business Media New York,978-1-4020-7164-5,978-1-4615-1077-2,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-1-4615-1077-2,http://link.springer.com/openurl?genre=book&isbn=978-1-4615-1077-2,Biomedicine; Neurosciences; Neurology,Springer US,Springer
Fundamentals of Biomechanics,"Nihat Özkaya, Dawn Leger, David Goldsheyder, Margareta Nordin",4th ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing Switzerland,978-3-319-44737-7,978-3-319-44738-4,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-3-319-44738-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-44738-4,Biomedicine; Human Physiology; Sports Medicine; Biomedical Engineering; Biomedical Engineering/Biotechnology; Orthopedics; Rehabilitation,Springer International Publishing,Springer
Human Chromosomes,"Orlando J. Miller, Eeva Therman",4th ed. 2001,Graduate/advanced undergraduate textbook,2001,Springer Science+Business Media New York,978-0-387-95031-0,978-1-4613-0139-4,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-1-4613-0139-4,http://link.springer.com/openurl?genre=book&isbn=978-1-4613-0139-4,"Biomedicine; Human Genetics; Anatomy; Cell Biology; Life Sciences, general; Molecular Medicine",Springer New York,Springer
Phylogenomics,Christoph Bleidorn,1st ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-54062-7,978-3-319-54064-1,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-3-319-54064-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-54064-1,Life Sciences; Evolutionary Biology; Human Genetics; Bioinformatics; Microbial Genetics and Genomics; Animal Genetics and Genomics,Springer International Publishing,Springer
Principles of Terrestrial Ecosystem Ecology,"F Stuart Chapin III, Pamela A. Matson, Peter Vitousek",2nd ed. 2012,Undergraduate textbook,2011,"Springer Science+Business Media, LLC",978-1-4419-9503-2,978-1-4419-9504-9,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-1-4419-9504-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-9504-9,Life Sciences; Ecology; Terrestial Ecology; Biodiversity; Ecosystems; Plant Ecology,Springer New York,Springer
Learning Landscape Ecology,"Sarah E. Gergel, Monica G. Turner",2nd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer-Verlag New York,978-1-4939-6372-0,978-1-4939-6374-4,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-1-4939-6374-4,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-6374-4,Life Sciences; Landscape Ecology; Landscape/Regional and Urban Planning; Terrestial Ecology; Monitoring/Environmental Analysis; Theoretical Ecology/Statistics,Springer New York,Springer
Epidemiological Research: Terms and Concepts,O. S. Miettinen,2011,Graduate/advanced undergraduate textbook,2011,Springer Netherlands,978-94-007-1170-9,978-94-007-1171-6,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-94-007-1171-6,http://link.springer.com/openurl?genre=book&isbn=978-94-007-1171-6,"Biomedicine; Biomedicine, general; Epidemiology; Public Health; Medicine/Public Health, general; Biometrics; Biostatistics",Springer Netherlands,Springer
Statistical Analysis of Clinical Data on a Pocket Calculator,"Ton J. Cleophas, Aeilko H. Zwinderman",2011,Graduate/advanced undergraduate textbook,2011,Springer Science+Business Media B.V.,978-94-007-1210-2,978-94-007-1211-9,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-94-007-1211-9,http://link.springer.com/openurl?genre=book&isbn=978-94-007-1211-9,"Biomedicine; Biomedicine, general; Chemistry/Food Science, general; Pharmacy; Medicine/Public Health, general; Computer Science, general; Life Sciences, general",Springer Netherlands,Springer
Clinical Data Analysis on a Pocket Calculator,"Ton J. Cleophas, Aeilko H. Zwinderman",2nd ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-27103-3,978-3-319-27104-0,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-3-319-27104-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-27104-0,"Biomedicine; Biomedicine, general; Entomology; Pharmacy; Statistics for Life Sciences, Medicine, Health Sciences",Springer International Publishing,Springer
Essentials of Cerebellum and Cerebellar Disorders,"Donna L. Gruol, Noriyuki Koibuchi, Mario Manto, Marco Molinari, Jeremy D. Schmahmann, Ying Shen",1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-24549-2,978-3-319-24551-5,EN,English/International,11642,Biomedical and Life Sciences,,,,,,http://doi.org/10.1007/978-3-319-24551-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-24551-5,Biomedicine; Gene Function; Neurosciences; Behavioral Sciences; Neurology,Springer International Publishing,Springer
