Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Database Marketing,"Robert C. Blattberg, Byung-Do Kim, Scott A. Neslin",2008,Undergraduate textbook,2008,Springer-Verlag New York,978-0-387-72578-9,978-0-387-72579-6,EN,English/International,11643,Business and Economics,,0923-6716,2199-1057,International Series in Quantitative Marketing,18.0,http://doi.org/10.1007/978-0-387-72579-6,http://link.springer.com/openurl?genre=book&isbn=978-0-387-72579-6,Business and Management; Market Research/Competitive Intelligence; Marketing; Management; Innovation/Technology Management,Springer New York,Springer
Microeconomics,Peter Dorman,2014,Undergraduate textbook,2014,Springer-Verlag Berlin Heidelberg,978-3-642-37433-3,978-3-642-37434-0,EN,English/International,11643,Business and Economics,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-642-37434-0,http://link.springer.com/openurl?genre=book&isbn=978-3-642-37434-0,Economics; Microeconomics; International Political Economy,Springer Berlin Heidelberg,Springer
Design Research in Information Systems,"Alan Hevner, Samir Chatterjee",2010,Graduate/advanced undergraduate textbook,2010,"Springer Science+Business Media, LLC",978-1-4419-5652-1,978-1-4419-5653-8,EN,English/International,11643,Business and Economics,,1571-0270,2197-7968,Integrated Series in Information Systems,22.0,http://doi.org/10.1007/978-1-4419-5653-8,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-5653-8,Business and Management; IT in Business; Management of Computing and Information Systems; Information Systems and Communication Service; Models and Principles; Information Systems Applications (incl.Internet); e-Commerce/e-business,Springer US,Springer
Strategic International Management,"Dirk Morschett, Hanna Schramm-Klein, Joachim Zentes",2nd ed. 2010,German textbook,2010,"Gabler Verlag | Springer Fachmedien Wiesbaden GmbH, Wiesbaden",978-3-8349-2535-0,978-3-8349-6331-4,EN,English/International,11643,Business and Economics,,,,,,http://doi.org/10.1007/978-3-8349-6331-4,http://link.springer.com/openurl?genre=book&isbn=978-3-8349-6331-4,Business and Management; Business Strategy/Leadership; Management; Marketing,Gabler Verlag,Gabler Verlag
International Trade Theory and Policy,Giancarlo Gandolfo,2nd ed. 2014,Graduate/advanced undergraduate textbook,2014,Springer-Verlag Berlin · Heidelberg,978-3-642-37313-8,978-3-642-37314-5,EN,English/International,11643,Business and Economics,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-642-37314-5,http://link.springer.com/openurl?genre=book&isbn=978-3-642-37314-5,Economics; International Economics; European Integration; Political Economy/Economic Policy,Springer Berlin Heidelberg,Springer
Supply Chain Management and Advanced Planning,"Hartmut Stadtler, Christoph Kilger, Herbert Meyr",5th ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer-Verlag Berlin Heidelberg,978-3-642-55308-0,978-3-642-55309-7,EN,English/International,11643,Business and Economics,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-642-55309-7,http://link.springer.com/openurl?genre=book&isbn=978-3-642-55309-7,"Business and Management; Supply Chain Management; Operations Management; IT in Business; Engineering Economics, Organization, Logistics, Marketing",Springer Berlin Heidelberg,Springer
Strategic International Management,"Dirk Morschett, Hanna Schramm-Klein, Joachim Zentes",3rd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer Fachmedien Wiesbaden,978-3-658-07883-6,978-3-658-07884-3,EN,English/International,11643,Business and Economics,,,,,,http://doi.org/10.1007/978-3-658-07884-3,http://link.springer.com/openurl?genre=book&isbn=978-3-658-07884-3,"Business and Management; Business Strategy/Leadership; Business and Management, general; Management",Springer Fachmedien Wiesbaden,Springer Gabler
Search Methodologies,"Edmund K. Burke, Graham Kendall",2nd ed. 2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-6939-1,978-1-4614-6940-7,EN,English/International,11643,Business and Economics,,,,,,http://doi.org/10.1007/978-1-4614-6940-7,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-6940-7,"Business and Management; Operations Research/Decision Theory; Operations Research, Management Science",Springer US,Springer
Linear Programming,Robert J Vanderbei,4th ed. 2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-7629-0,978-1-4614-7630-6,EN,English/International,11643,Business and Economics,,0884-8289,2214-7934,International Series in Operations Research & Management Science,196.0,http://doi.org/10.1007/978-1-4614-7630-6,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7630-6,"Business and Management; Operations Research/Decision Theory; Operations Research, Management Science; Optimization",Springer US,Springer
Corporate Social Responsibility,"John O. Okpara, Samuel O. Idowu",2013,Undergraduate textbook,2013,Springer-Verlag Berlin Heidelberg,978-3-642-40974-5,978-3-642-40975-2,EN,English/International,11643,Business and Economics,,2196-7075,2196-7083,"CSR, Sustainability, Ethics & Governance",,http://doi.org/10.1007/978-3-642-40975-2,http://link.springer.com/openurl?genre=book&isbn=978-3-642-40975-2,Business and Management; Business Ethics; Public Administration; Business Strategy/Leadership,Springer Berlin Heidelberg,Springer
