Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Linear and Nonlinear Programming,"David G. Luenberger, Yinyu Ye",4th ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-18841-6,978-3-319-18842-3,EN,English/International,41169,Business and Management,,0884-8289,2214-7934,International Series in Operations Research & Management Science,228.0,http://doi.org/10.1007/978-3-319-18842-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-18842-3,"Business and Management; Operations Research/Decision Theory; Operations Research, Management Science; Mathematical Modeling and Industrial Mathematics; Engineering Economics, Organization, Logistics, Marketing",Springer International Publishing,Springer
Enterprise Risk Management Models,"David L. Olson, Desheng Dash Wu",2nd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer-Verlag GmbH Germany,978-3-662-53784-8,978-3-662-53785-5,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-662-53785-5,http://link.springer.com/openurl?genre=book&isbn=978-3-662-53785-5,Business and Management; Operations Management; Risk Management,Springer Berlin Heidelberg,Springer
Introduction to Electronic Commerce and Social Commerce,"Efraim Turban, Judy Whiteside, David King, Jon Outland",4th ed. 2017,Undergraduate textbook,2017,Springer International Publishing AG,978-3-319-50090-4,978-3-319-50091-1,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-50091-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-50091-1,Business and Management; e-Business/e-Commerce; Business Information Systems,Springer International Publishing,Springer
Business Process Management Cases,"Jan vom Brocke, Jan Mendling",1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer International Publishing AG,978-3-319-58306-8,978-3-319-58307-5,EN,English/International,41169,Business and Management,,2192-8096,2192-810X,Management for Professionals,,http://doi.org/10.1007/978-3-319-58307-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-58307-5,"Business and Management; Business Process Management; Information Systems Applications (incl.Internet); Business Information Systems; Organization; Organizational Studies, Economic Sociology",Springer International Publishing,Springer
Social Media Management,Amy Van Looy,1st ed. 2016,Undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-21989-9,978-3-319-21990-5,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-21990-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-21990-5,Business and Management; Media Management; IT in Business; Marketing; e-Commerce/e-business; Human Resource Management,Springer International Publishing,Springer
Multinational Management,Rien Segers,1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-23011-5,978-3-319-23012-2,EN,English/International,41169,Business and Management,,,,,,http://doi.org/10.1007/978-3-319-23012-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-23012-2,Business and Management; International Business,Springer International Publishing,Springer
Leadership Today,"Joan Marques, Satinder Dhiman",1st ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing Switzerland,978-3-319-31034-3,978-3-319-31036-7,EN,English/International,41169,Business and Management,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-319-31036-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-31036-7,Business and Management; Business Strategy/Leadership; Organization; Human Resource Development,Springer International Publishing,Springer
Sustainable Supply Chains,"Yann Bouchery, Charles J. Corbett, Jan C. Fransoo, Tarkan Tan",1st ed. 2017,Graduate/advanced undergraduate textbook,2017,"Yann Bouchery, Charles J. Corbett, Jan C. Fransoo, and Tarkan Tan",978-3-319-29789-7,978-3-319-29791-0,EN,English/International,41169,Business and Management,,2365-6395,2365-6409,Springer Series in Supply Chain Management,4.0,http://doi.org/10.1007/978-3-319-29791-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-29791-0,Business and Management; Operations Research/Decision Theory; Supply Chain Management; Procurement,Springer International Publishing,Springer
Strategic Retail Management,"Joachim Zentes, Dirk Morschett, Hanna Schramm-Klein",3rd ed. 2017,Undergraduate textbook,2017,Springer Fachmedien Wiesbaden GmbH,978-3-658-10182-4,978-3-658-10183-1,EN,English/International,41169,Business and Management,,,,,,http://doi.org/10.1007/978-3-658-10183-1,http://link.springer.com/openurl?genre=book&isbn=978-3-658-10183-1,Business and Management; Trade; Sales/Distribution; Marketing,Springer Fachmedien Wiesbaden,Springer Gabler
"Travel Marketing, Tourism Economics and the Airline Product",Mark Anthony Camilleri,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer International Publishing AG,978-3-319-49848-5,978-3-319-49849-2,EN,English/International,41169,Business and Management,,2510-4993,2510-5000,"Tourism, Hospitality & Event Management",,http://doi.org/10.1007/978-3-319-49849-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-49849-2,Business and Management; Tourism Management; Marketing; Media and Communication,Springer International Publishing,Springer
