Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Ceramic Materials,"C. Barry Carter, M. Grant Norton",2007,Graduate/advanced undergraduate textbook,2007,Springer-Verlag New York,978-0-387-46270-7,978-0-387-46271-4,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-0-387-46271-4,http://link.springer.com/openurl?genre=book&isbn=978-0-387-46271-4,"Materials Science; Ceramics, Glass, Composites, Natural Materials; Industrial and Production Engineering; Characterization and Evaluation of Materials; Inorganic Chemistry; Nanotechnology",Springer New York,Springer
Principles of Fluorescence Spectroscopy,Joseph R. Lakowicz,3rd ed. 2006,Graduate/advanced undergraduate textbook,2006,Springer-Verlag US,978-0-387-31278-1,978-0-387-46312-4,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-0-387-46312-4,http://link.springer.com/openurl?genre=book&isbn=978-0-387-46312-4,"Chemistry; Mass Spectrometry; Analytical Chemistry; Biological and Medical Physics, Biophysics; Biochemistry, general; Biotechnology; Physical Chemistry",Springer US,Springer
Composite Materials,Krishan K. Chawla,3rd ed. 2012,Graduate/advanced undergraduate textbook,2012,Springer Science+Business Media New York,978-0-387-74364-6,978-0-387-74365-3,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-0-387-74365-3,http://link.springer.com/openurl?genre=book&isbn=978-0-387-74365-3,"Materials Science; Ceramics, Glass, Composites, Natural Materials; Engineering Design; Polymer Sciences; Mechanical Engineering; Civil Engineering",Springer New York,Springer
Transmission Electron Microscopy,"David B. Williams, C. Barry Carter",2nd ed. 2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag US,978-0-387-76500-6,978-0-387-76501-3,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-0-387-76501-3,http://link.springer.com/openurl?genre=book&isbn=978-0-387-76501-3,Materials Science; Characterization and Evaluation of Materials; Nanotechnology; Solid State Physics; Spectroscopy and Microscopy,Springer US,Springer
Sensory Evaluation of Food,"Harry T. Lawless, Hildegarde Heymann",2nd ed. 2010,Graduate/advanced undergraduate textbook,2010,"Springer Science+Business Media, LLC",978-1-4419-6487-8,978-1-4419-6488-5,EN,English/International,11644,Chemistry and Materials Science,,1572-0330,2214-7799,Food Science Text Series,,http://doi.org/10.1007/978-1-4419-6488-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-6488-5,Chemistry; Food Science; Neurochemistry; Receptors,Springer New York,Springer
Engineering Flow and Heat Exchange,Octave Levenspiel,3rd ed. 2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4899-7453-2,978-1-4899-7454-9,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-1-4899-7454-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4899-7454-9,"Chemistry; Industrial Chemistry/Chemical Engineering; Engineering Thermodynamics, Heat and Mass Transfer; Engineering Fluid Dynamics; Mechanical Engineering; Thermodynamics",Springer US,Springer
Chemical Thermodynamics,Ernö Keszei,2012,Undergraduate textbook,2012,Springer-Verlag Berlin Heidelberg,978-3-642-19863-2,978-3-642-19864-9,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-642-19864-9,http://link.springer.com/openurl?genre=book&isbn=978-3-642-19864-9,"Chemistry; Physical Chemistry; Thermodynamics; Engineering Thermodynamics, Heat and Mass Transfer; Industrial Chemistry/Chemical Engineering; Materials Science, general; Biochemistry, general",Springer Berlin Heidelberg,Springer
Electrochemistry,"Christine Lefrou, Pierre Fabry, Jean-Claude Poignet",2012,Graduate/advanced undergraduate textbook,2012,Springer-Verlag Berlin Heidelberg,978-3-642-30249-7,978-3-642-30250-3,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-642-30250-3,http://link.springer.com/openurl?genre=book&isbn=978-3-642-30250-3,Chemistry; Electrochemistry; Energy Storage; Optical and Electronic Materials; Thermodynamics; Electrical Engineering,Springer Berlin Heidelberg,Springer
Acid-Base Diagrams,"Heike Kahlert, Fritz Scholz",2013,Undergraduate textbook,2013,Springer-Verlag Berlin Heidelberg,978-3-642-37901-7,978-3-642-37902-4,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-642-37902-4,http://link.springer.com/openurl?genre=book&isbn=978-3-642-37902-4,"Chemistry; Analytical Chemistry; Biochemistry, general; Environmental Chemistry; Inorganic Chemistry; Physical Chemistry; Geochemistry",Springer Berlin Heidelberg,Springer
Brewing Science: A Multidisciplinary Approach,"Michael Mosher, Kenneth Trantham",1st ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing Switzerland,978-3-319-46393-3,978-3-319-46394-0,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-3-319-46394-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-46394-0,Chemistry; Food Science; Organic Chemistry,Springer International Publishing,Springer
Principles of Polymer Chemistry,A. Ravve,3rd ed. 2012,Graduate/advanced undergraduate textbook,2012,"Springer Science+Business Media, LLC",978-1-4614-2211-2,978-1-4614-2212-9,EN,English/International,11644,Chemistry and Materials Science,,,,,,http://doi.org/10.1007/978-1-4614-2212-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-2212-9,Chemistry; Polymer Sciences; Organic Chemistry; Physical Chemistry,Springer New York,Springer
