Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Introduction to Evolutionary Computing,"A.E. Eiben, J.E. Smith",2nd ed. 2015,Undergraduate textbook,2015,Springer-Verlag Berlin Heidelberg,978-3-662-44873-1,978-3-662-44874-8,EN,English/International,11645,Computer Science,,1619-7127,,Natural Computing Series,,http://doi.org/10.1007/978-3-662-44874-8,http://link.springer.com/openurl?genre=book&isbn=978-3-662-44874-8,Computer Science; Computational Intelligence; Theory of Computation; Robotics and Automation; Optimization,Springer Berlin Heidelberg,Springer
Data Structures and Algorithms with Python,"Kent D. Lee, Steve Hubbard",2015,Undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-13071-2,978-3-319-13072-9,EN,English/International,11645,Computer Science,,1863-7310,2197-1781,Undergraduate Topics in Computer Science,,http://doi.org/10.1007/978-3-319-13072-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-13072-9,Computer Science; Data Structures; Python; Algorithm Analysis and Problem Complexity; Programming Techniques,Springer International Publishing,Springer
LaTeX in 24 Hours,Dilip Datta,1st ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-47830-2,978-3-319-47831-9,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-319-47831-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-47831-9,Popular Science; Popular Computer Science; Programming Techniques,Springer International Publishing,Springer
Automata and Computability,Dexter C. Kozen,1997,Undergraduate textbook,1997,Springer Science+Business Media New York,978-0-387-94907-9,978-1-4612-1844-9,EN,English/International,11645,Computer Science,,,,Undergraduate Texts in Computer Science,,http://doi.org/10.1007/978-1-4612-1844-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4612-1844-9,Computer Science; Computation by Abstract Devices; Algorithm Analysis and Problem Complexity,Springer New York,Springer
The Algorithm Design Manual,Steven S Skiena,2nd ed. 2008,Graduate/advanced undergraduate textbook,2008,Springer-Verlag London Limited,978-1-84800-069-8,978-1-84800-070-4,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-1-84800-070-4,http://link.springer.com/openurl?genre=book&isbn=978-1-84800-070-4,Computer Science; Software Engineering/Programming and Operating Systems; Programming Techniques; Algorithm Analysis and Problem Complexity; Theory of Computation; Algorithms; Discrete Mathematics in Computer Science,Springer London,Springer
Principles of Data Mining,Max Bramer,3rd ed. 2016,Undergraduate textbook,2016,Springer-Verlag London Ltd.,978-1-4471-7306-9,978-1-4471-7307-6,EN,English/International,11645,Computer Science,,1863-7310,2197-1781,Undergraduate Topics in Computer Science,,http://doi.org/10.1007/978-1-4471-7307-6,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-7307-6,Computer Science; Information Storage and Retrieval; Database Management; Programming Techniques,Springer London,Springer
Fundamentals of Business Process Management,"Marlon Dumas, Marcello La Rosa, Jan Mendling, Hajo A. Reijers",2013,Graduate/advanced undergraduate textbook,2013,Springer-Verlag Berlin Heidelberg,978-3-642-33142-8,978-3-642-33143-5,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-3-642-33143-5,http://link.springer.com/openurl?genre=book&isbn=978-3-642-33143-5,Computer Science; Computer Appl. in Administrative Data Processing; Business Process Management; Information Systems Applications (incl.Internet); Software Engineering,Springer Berlin Heidelberg,Springer
UML @ Classroom,"Martina Seidl, Marion Scholz, Christian Huemer, Gerti Kappel",2015,Undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-12741-5,978-3-319-12742-2,EN,English/International,11645,Computer Science,,1863-7310,2197-1781,Undergraduate Topics in Computer Science,,http://doi.org/10.1007/978-3-319-12742-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-12742-2,Computer Science; Software Engineering; Management of Computing and Information Systems,Springer International Publishing,Springer
Foundations for Designing User-Centered Systems,"Frank E. Ritter, Gordon D. Baxter, Elizabeth F. Churchill",2014,Undergraduate textbook,2014,Springer-Verlag London,978-1-4471-5133-3,978-1-4471-5134-0,EN,English/International,11645,Computer Science,,,,,,http://doi.org/10.1007/978-1-4471-5134-0,http://link.springer.com/openurl?genre=book&isbn=978-1-4471-5134-0,Computer Science; User Interfaces and Human Computer Interaction; Software Engineering,Springer London,Springer
Computer Vision,Richard Szeliski,2011,Undergraduate textbook,2011,Springer-Verlag London Limited,978-1-84882-934-3,978-1-84882-935-0,EN,English/International,11645,Computer Science,,1868-0941,1868-095X,Texts in Computer Science,,http://doi.org/10.1007/978-1-84882-935-0,http://link.springer.com/openurl?genre=book&isbn=978-1-84882-935-0,Computer Science; Image Processing and Computer Vision,Springer London,Springer
