Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Electrical Machines,Slobodan N. Vukosavic,2012,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-0399-9,978-1-4614-0400-2,EN,English/International,40367,Energy,,2196-3185,2196-3193,Power Electronics and Power Systems,,http://doi.org/10.1007/978-1-4614-0400-2,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-0400-2,"Energy; Energy Systems; Power Electronics, Electrical Machines and Networks; Machinery and Machine Elements; Mechatronics; Industrial and Production Engineering",Springer New York,Springer
Energy Storage,Robert Huggins,2nd ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-21238-8,978-3-319-21239-5,EN,English/International,40367,Energy,,,,,,http://doi.org/10.1007/978-3-319-21239-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-21239-5,Energy; Energy Storage; Optical and Electronic Materials; Renewable and Green Energy; Electrochemistry,Springer International Publishing,Springer
Reactive Power Control in AC Power Systems,"Naser Mahdavi Tabatabaei, Ali Jafari Aghbolaghi, Nicu Bizon, Frede Blaabjerg",1st ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-51117-7,978-3-319-51118-4,EN,English/International,40367,Energy,,1612-1287,1860-4676,Power Systems,,http://doi.org/10.1007/978-3-319-51118-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-51118-4,"Engineering; Power Electronics, Electrical Machines and Networks; Energy Systems; Control",Springer International Publishing,Springer
Energy Economics,"Peter Zweifel, Aaron Praktiknjo, Georg Erdmann",1st ed. 2017,Undergraduate textbook,2017,Springer International Publishing AG,978-3-662-53020-7,978-3-662-53022-1,EN,English/International,40367,Energy,,2192-4333,2192-4341,Springer Texts in Business and Economics,,http://doi.org/10.1007/978-3-662-53022-1,http://link.springer.com/openurl?genre=book&isbn=978-3-662-53022-1,"Energy; Energy Policy, Economics and Management; Environmental Economics; Political Economy/Economic Policy; Energy Policy, Economics and Management; Industrial Organization",Springer Berlin Heidelberg,Springer
Solar PV and Wind Energy Conversion Systems,"S. Sumathi, L. Ashok Kumar, P. Surekha",2015,Graduate/advanced undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-14940-0,978-3-319-14941-7,EN,English/International,40367,Energy,,1865-3529,1865-3537,Green Energy and Technology,,http://doi.org/10.1007/978-3-319-14941-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-14941-7,"Energy; Renewable and Green Energy; Energy Systems; Power Electronics, Electrical Machines and Networks; Energy Efficiency; Energy Harvesting",Springer International Publishing,Springer
Air Pollution and Greenhouse Gases,Zhongchao Tan,2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media Singapore,978-981-287-211-1,978-981-287-212-8,EN,English/International,40367,Energy,,1865-3529,1865-3537,Green Energy and Technology,,http://doi.org/10.1007/978-981-287-212-8,http://link.springer.com/openurl?genre=book&isbn=978-981-287-212-8,"Engineering; Quality Control, Reliability, Safety and Risk; Atmospheric Protection/Air Quality Control/Air Pollution; Environmental Engineering/Biotechnology",Springer Singapore,Springer
Energy Harvesting and Energy Efficiency,"Nicu Bizon, Naser Mahdavi Tabatabaei, Frede Blaabjerg, Erol Kurt",1st ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-49874-4,978-3-319-49875-1,EN,English/International,40367,Energy,,2195-1284,2195-1292,Lecture Notes in Energy,37.0,http://doi.org/10.1007/978-3-319-49875-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-49875-1,"Energy; Energy Harvesting; Nanotechnology and Microengineering; Renewable and Green Energy; Engineering Thermodynamics, Heat and Mass Transfer",Springer International Publishing,Springer
Energy and the Wealth of Nations,"Charles A.S. Hall, Kent Klitgaard",2nd ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer International Publishing AG,978-3-319-66217-6,978-3-319-66219-0,EN,English/International,40367,Energy,,,,,,http://doi.org/10.1007/978-3-319-66219-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-66219-0,"Energy; Energy Policy, Economics and Management; Sustainable Development; Environmental Economics; Energy Policy, Economics and Management; Data-driven Science, Modeling and Theory Building; Economic Geography",Springer International Publishing,Springer
Building Energy Modeling with OpenStudio,"Larry Brackney, Andrew Parker, Daniel Macumber, Kyle Benne",1st ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-77808-2,978-3-319-77809-9,EN,English/International,40367,Energy,,,,,,http://doi.org/10.1007/978-3-319-77809-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77809-9,"Energy; Sustainable Architecture/Green Buildings; Mechanical Engineering; Energy Efficiency; Building Physics, HVAC; Building Construction and Design",Springer International Publishing,Springer
Off-Grid Electrical Systems in Developing Countries,Henry Louie,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-91889-1,978-3-319-91890-7,EN,English/International,40367,Energy,,,,,,http://doi.org/10.1007/978-3-319-91890-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91890-7,"Energy; Renewable and Green Energy; Energy Systems; Energy Policy, Economics and Management; Development and Sustainability",Springer International Publishing,Springer
