Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Fundamentals of Power Electronics,"Robert W. Erickson, Dragan Maksimovic",2nd ed. 2001,Graduate/advanced undergraduate textbook,2001,Springer Science+Business Media New York ,978-0-7923-7270-7,978-0-306-48048-5,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/b100747,http://link.springer.com/openurl?genre=book&isbn=978-0-306-48048-5,"Engineering; Circuits and Systems; Energy, general; Electronics and Microelectronics, Instrumentation; Energy Systems",Springer US,Springer
Intuitive Probability and Random Processes using MATLAB®,Steven Kay,2006,Graduate/advanced undergraduate textbook,2006,Springer-Verlag US,978-0-387-24157-9,978-0-387-24158-6,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/b104645,http://link.springer.com/openurl?genre=book&isbn=978-0-387-24158-6,"Engineering; Communications Engineering, Networks; Mathematical Software; Mathematical and Computational Engineering; Signal, Image and Speech Processing; Probability Theory and Stochastic Processes; Fourier Analysis",Springer US,Springer
Fatigue of Structures and Materials,J. Schijve,2nd ed. 2009,Graduate/advanced undergraduate textbook,2009,Springer Science+Business Media B.V.,978-1-4020-6807-2,978-1-4020-6808-9,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-1-4020-6808-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4020-6808-9,Engineering; Mechanical Engineering; Engineering Design; Structural Materials; Metallic Materials,Springer Netherlands,Springer
Fundamentals of Robotic Mechanical Systems,Jorge Angeles,4th ed. 2014,Graduate/advanced undergraduate textbook,2014,Springer International Publishing Swizterland,978-3-319-01850-8,978-3-319-01851-5,EN,English/International,11647,Engineering,,0941-5122,2192-063X,Mechanical Engineering Series,124.0,http://doi.org/10.1007/978-3-319-01851-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-01851-5,Engineering; Mechanical Engineering; Robotics and Automation,Springer International Publishing,Springer
Introduction to Logic Circuits & Logic Design with Verilog,Brock J. LaMeres,1st ed. 2017,Undergraduate textbook,2017,Springer International Publishing AG,978-3-319-53882-2,978-3-319-53883-9,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-53883-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-53883-9,Engineering; Circuits and Systems; Processor Architectures; Logic Design,Springer International Publishing,Springer
Structural Analysis,"O. A. Bauchau, J.I. Craig",2009,Graduate/advanced undergraduate textbook,2009,Springer Science+Business Media B.V.,978-90-481-2515-9,978-90-481-2516-6,EN,English/International,11647,Engineering,,0925-0042,2214-7764,Solid Mechanics and Its Applications,163.0,http://doi.org/10.1007/978-90-481-2516-6,http://link.springer.com/openurl?genre=book&isbn=978-90-481-2516-6,"Engineering; Mechanical Engineering; Astronomy, Astrophysics and Cosmology; Aerospace Technology and Astronautics; Theoretical and Applied Mechanics",Springer Netherlands,Springer
Additive Manufacturing Technologies,"Ian Gibson, David W. Rosen, Brent Stucker",2010,Graduate/advanced undergraduate textbook,2010,"Springer Science+Business Media, LLC, part of Springer Nature",978-1-4419-1119-3,978-1-4419-1120-9,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-1-4419-1120-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-1120-9,Engineering; Engineering Design; Industrial Chemistry/Chemical Engineering; Industrial and Production Engineering; Mechanical Engineering,Springer US,Springer
Engineering Electromagnetics,Nathan Ida,3rd ed. 2015,Undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-07805-2,978-3-319-07806-9,EN,English/International,11647,Engineering,,,,,,http://doi.org/10.1007/978-3-319-07806-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-07806-9,"Engineering; Signal, Image and Speech Processing; Information Systems and Communication Service; Communications Engineering, Networks",Springer International Publishing,Springer
Alternative Energy Sources,Efstathios E (Stathis) Michaelides,2012,Graduate/advanced undergraduate textbook,2012,Springer-Verlag Berlin Heidelberg,978-3-642-20950-5,978-3-642-20951-2,EN,English/International,11647,Engineering,,1865-3529,1865-3537,Green Energy and Technology,,http://doi.org/10.1007/978-3-642-20951-2,http://link.springer.com/openurl?genre=book&isbn=978-3-642-20951-2,Energy; Renewable and Green Energy; Renewable and Green Energy; Sustainable Development; Energy Systems,Springer Berlin Heidelberg,Springer
"Robotics, Vision and Control",Peter Corke,2nd ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-54412-0,978-3-319-54413-7,EN,English/International,11647,Engineering,,1610-7438,1610-742X,Springer Tracts in Advanced Robotics,118.0,http://doi.org/10.1007/978-3-319-54413-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-54413-7,"Engineering; Robotics and Automation; Control; Image Processing and Computer Vision; Signal, Image and Speech Processing; Cognitive Psychology",Springer International Publishing,Springer
