Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Handbook of the Life Course,"Jeylan T. Mortimer, Michael J. Shanahan",2003,Graduate/advanced undergraduate textbook,2003,Springer Science+Business Media New York,978-0-306-47498-9,978-0-306-48247-2,EN,English/International,11648,"Humanities, Social Sciences and Law",,1389-6903,2542-839X,Handbooks of Sociology and Social Research,,http://doi.org/10.1007/b100507,http://link.springer.com/openurl?genre=book&isbn=978-0-306-48247-2,"Social Sciences; Sociology, general; Clinical Psychology; Population Economics",Springer US,Springer
Handbook of Disaster Research,"Havidan Rodriguez, Enrico L. Quarantelli, Russell Dynes",2006,Graduate/advanced undergraduate textbook,2007,Springer New York,978-0-387-32331-2,978-0-387-32353-4,EN,English/International,11648,"Humanities, Social Sciences and Law",,1389-6903,2542-839X,Handbooks of Sociology and Social Research,,http://doi.org/10.1007/978-0-387-32353-4,http://link.springer.com/openurl?genre=book&isbn=978-0-387-32353-4,"Social Sciences; Sociology, general; Public Health; Demography",Springer New York,Springer
Handbook of the Sociology of Gender,Janet Saltzman Chafetz,1999,Graduate/advanced undergraduate textbook,2006,Springer-Verlag US,978-0-306-45978-8,978-0-387-36218-2,EN,English/International,11648,"Humanities, Social Sciences and Law",,1389-6903,2542-839X,Handbooks of Sociology and Social Research,,http://doi.org/10.1007/0-387-36218-5,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36218-2,"Social Sciences; Sociology, general; Social Sciences, general; Personality and Social Psychology",Springer US,Springer
Handbook of Sociological Theory,Jonathan H. Turner,2001,Graduate/advanced undergraduate textbook,2001,Springer-Verlag US,978-0-306-46554-3,978-0-387-36274-8,EN,English/International,11648,"Humanities, Social Sciences and Law",,1389-6903,2542-839X,Handbooks of Sociology and Social Research,,http://doi.org/10.1007/0-387-36274-6,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36274-8,"Social Sciences; Sociology, general; Political Science",Springer US,Springer
International Handbook of Historical Archaeology,"Teresita Majewski, David Gaimster",2009,Graduate/advanced undergraduate textbook,2009,"Springer Science+Business Media, LLC",978-0-387-72068-5,978-0-387-72071-5,EN,English/International,11648,"Humanities, Social Sciences and Law",,,,,,http://doi.org/10.1007/978-0-387-72071-5,http://link.springer.com/openurl?genre=book&isbn=978-0-387-72071-5,Social Sciences; Archaeology; Cultural Heritage,Springer New York,Springer
Handbook of Quantitative Criminology,"Alex R. Piquero, David Weisburd",1st ed. 2010,Graduate/advanced undergraduate textbook,2010,"Springer Science+Business Media, LLC",978-0-387-77649-1,978-0-387-77650-7,EN,English/International,11648,"Humanities, Social Sciences and Law",,,,,,http://doi.org/10.1007/978-0-387-77650-7,http://link.springer.com/openurl?genre=book&isbn=978-0-387-77650-7,"Criminology and Criminal Justice; Criminology and Criminal Justice, general; Statistics for Social Science, Behavorial Science, Education, Public Policy, and Law; Methodology of the Social Sciences",Springer New York,Springer
LGBT-Parent Families,"Abbie E. Goldberg, Katherine R. Allen",2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-4555-5,978-1-4614-4556-2,EN,English/International,11648,"Humanities, Social Sciences and Law",,,,,,http://doi.org/10.1007/978-1-4614-4556-2,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-4556-2,Social Sciences; Family; Gender Studies; Public Health; Social Policy,Springer New York,Springer
Statistics in Criminal Justice,"David Weisburd, Chester Britt",4th ed. 2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-9169-9,978-1-4614-9170-5,EN,English/International,11648,"Humanities, Social Sciences and Law",,,,,,http://doi.org/10.1007/978-1-4614-9170-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-9170-5,"Criminology and Criminal Justice; Criminology and Criminal Justice, general",Springer US,Springer
The Action Research Planner,"Stephen Kemmis, Robin McTaggart, Rhonda Nixon",2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media Singapore,978-981-4560-66-5,978-981-4560-67-2,EN,English/International,11648,"Humanities, Social Sciences and Law",,,,,,http://doi.org/10.1007/978-981-4560-67-2,http://link.springer.com/openurl?genre=book&isbn=978-981-4560-67-2,"Education; Teaching and Teacher Education; Learning and Instruction; Assessment, Testing and Evaluation",Springer Singapore,Springer
Handbook of Marriage and the Family,"Gary W. Peterson, Kevin R. Bush",3rd ed. 2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-3986-8,978-1-4614-3987-5,EN,English/International,11648,"Humanities, Social Sciences and Law",,,,,,http://doi.org/10.1007/978-1-4614-3987-5,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-3987-5,Social Sciences; Family; Psychology Research; Social Work,Springer US,Springer
