Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
International Perspectives on Psychotherapy,Stefan G. Hofmann,1st ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-56193-6,978-3-319-56194-3,EN,English/International,41168,Behavioral Science and Psychology,,,,,,http://doi.org/10.1007/978-3-319-56194-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-56194-3,Psychology; Clinical Psychology,Springer International Publishing,Springer
Applied Behavior Analysis,"Kimberly Maich, Darren Levine, Carmen Hall",1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing AG,978-3-319-44792-6,978-3-319-44794-0,EN,English/International,41168,Behavioral Science and Psychology,,,,,,http://doi.org/10.1007/978-3-319-44794-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-44794-0,Psychology; Child and School Psychology; Behavioral Therapy,Springer International Publishing,Springer
Psychology of Perception,Simon Grondin,1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-31789-2,978-3-319-31791-5,EN,English/International,41168,Behavioral Science and Psychology,,,,,,http://doi.org/10.1007/978-3-319-31791-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-31791-5,Psychology; Cognitive Psychology,Springer International Publishing,Springer
Handbook of Consumer Finance Research,Jing Jian Xiao,2nd ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-28885-7,978-3-319-28887-1,EN,English/International,41168,Behavioral Science and Psychology,,,,,,http://doi.org/10.1007/978-3-319-28887-1,http://link.springer.com/openurl?genre=book&isbn=978-3-319-28887-1,Psychology; Psychology Research; Family; Social Policy,Springer International Publishing,Springer
Clinical Methods in Medical Family Therapy,"Tai Mendenhall, Angela Lamson, Jennifer Hodgson, Macaran Baird",1st ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-68833-6,978-3-319-68834-3,EN,English/International,41168,Behavioral Science and Psychology,,2520-1190,2520-1204,Focused Issues in Family Therapy,,http://doi.org/10.1007/978-3-319-68834-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-68834-3,Psychology; Clinical Psychology; Family; General Practice / Family Medicine,Springer International Publishing,Springer
Motivation and Action ,"Jutta Heckhausen, Heinz Heckhausen",3rd ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-65093-7,978-3-319-65094-4,EN,English/International,41168,Behavioral Science and Psychology,,,,,,http://doi.org/10.1007/978-3-319-65094-4,http://link.springer.com/openurl?genre=book&isbn=978-3-319-65094-4,Psychology; Cognitive Psychology; General Psychology; Personality and Social Psychology,Springer International Publishing,Springer
Perceptual Organization,Stephen Handel,1st ed. 2019,Graduate/advanced undergraduate textbook,2019,The Editor(s) (if applicable) and The Author(s),978-3-319-96336-5,978-3-319-96337-2,EN,English/International,41168,Behavioral Science and Psychology,,,,,,http://doi.org/10.1007/978-3-319-96337-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-96337-2,Psychology; Cognitive Psychology; Neuropsychology; Neurosciences; Audio-Visual Culture,Springer International Publishing,Palgrave Macmillan
Evidence-Based Practice in Clinical Social Work,"James W. Drisko, Melissa D. Grady",2nd ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-030-15223-9,978-3-030-15224-6,EN,English/International,41168,Behavioral Science and Psychology,,2520-162X,2520-1611,Essential Clinical Social Work Series,,http://doi.org/10.1007/978-3-030-15224-6,http://link.springer.com/openurl?genre=book&isbn=978-3-030-15224-6,Psychology; Psychotherapy and Counseling; Social Work; Psychotherapy; Social Policy,Springer International Publishing,Springer
Foundations of Behavioral Health,"Bruce Lubotsky Levin, Ardis Hanson",1st ed. 2020,Graduate/advanced undergraduate textbook,2020,Springer Nature Switzerland AG,978-3-030-18433-9,978-3-030-18435-3,EN,English/International,41168,Behavioral Science and Psychology,,,,,,http://doi.org/10.1007/978-3-030-18435-3,http://link.springer.com/openurl?genre=book&isbn=978-3-030-18435-3,Psychology; Health Psychology; Public Health; Psychiatry; Social Work,Springer International Publishing,Springer
Social Psychology in Action,"Kai Sassenberg, Michael L.W. Vliek",1st ed. 2019,Graduate/advanced undergraduate textbook,2019,Springer Nature Switzerland AG,978-3-030-13787-8,978-3-030-13788-5,EN,English/International,41168,Behavioral Science and Psychology,,,,,,http://doi.org/10.1007/978-3-030-13788-5,http://link.springer.com/openurl?genre=book&isbn=978-3-030-13788-5,Psychology; Personality and Social Psychology; Applied Psychology; Psychological Methods/Evaluation,Springer International Publishing,Springer
