Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Social Anxiety and Social Phobia in Youth,Christopher Kearney,2005,Graduate/advanced undergraduate textbook,2005,Springer-Verlag US,978-0-387-22591-3,978-0-387-22592-0,EN,English/International,11640,Behavioral Science,,,,Series in Anxiety and Related Disorders,,http://doi.org/10.1007/b99417,http://link.springer.com/openurl?genre=book&isbn=978-0-387-22592-0,Psychology; Clinical Psychology; Personality and Social Psychology; Community and Environmental Psychology,Springer US,Springer
Clinical Neuroanatomy,"John Mendoza, Anne Foundas",2008,Graduate/advanced undergraduate textbook,2008,Springer-Verlag New York,978-0-387-36600-5,978-0-387-36601-2,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-0-387-36601-2,http://link.springer.com/openurl?genre=book&isbn=978-0-387-36601-2,"Psychology; Neuropsychology; Psychiatry; Anatomy; Psychology, general",Springer New York,Springer
Acquired Brain Injury,"Jean Elbaum, Deborah Benson",2007,Graduate/advanced undergraduate textbook,2007,Springer-Verlag New York,978-0-387-37574-8,978-0-387-37575-5,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-0-387-37575-5,http://link.springer.com/openurl?genre=book&isbn=978-0-387-37575-5,Psychology; Neuropsychology; Rehabilitation; Behavioral Therapy; Rehabilitation Medicine,Springer New York,Springer
"Psychology, Religion, and Spirituality",James M. Nelson,2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag New York,978-0-387-87572-9,978-0-387-87573-6,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-0-387-87573-6,http://link.springer.com/openurl?genre=book&isbn=978-0-387-87573-6,"Psychology; Clinical Psychology; Religious Studies, general",Springer New York,Springer
Child Neuropsychology,"Margaret Semrud-Clikeman, Phyllis Anne Teeter Ellison",2nd ed. 2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag US,978-0-387-88962-7,978-0-387-88963-4,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-0-387-88963-4,http://link.springer.com/openurl?genre=book&isbn=978-0-387-88963-4,Psychology; Child and School Psychology; Neuropsychology,Springer US,Springer
Clinical Assessment of Child and Adolescent Personality and Behavior,"Paul J. Frick, Christopher T. Barry, Randy W. Kamphaus",3rd ed. 2010,Graduate/advanced undergraduate textbook,2010,Springer-Verlag US,978-0-387-89642-7,978-1-4419-0641-0,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-1-4419-0641-0,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-0641-0,"Psychology; Child and School Psychology; Psychotherapy and Counseling; Education, general",Springer US,Springer
A Clinical Guide to the Treatment of the Human Stress Response,"George S. Everly, Jr., Jeffrey M. Lating",3rd ed. 2013,Graduate/advanced undergraduate textbook,2013,Springer Science+Business Media New York,978-1-4614-5537-0,978-1-4614-5538-7,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-1-4614-5538-7,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-5538-7,Psychology; Clinical Psychology; Psychiatry; Health Psychology,Springer New York,Springer
The Psychology of Social Status,"Joey T. Cheng, Jessica L. Tracy, Cameron Anderson",2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4939-0866-0,978-1-4939-0867-7,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-1-4939-0867-7,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-0867-7,"Psychology; Personality and Social Psychology; Social Structure, Social Inequality; Anthropology",Springer New York,Springer
Psychoeducational Assessment and Report Writing,Stefan C. Dombrowski,2015,Graduate/advanced undergraduate textbook,2015,Springer Science+Business Media New York,978-1-4939-1910-9,978-1-4939-1911-6,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-1-4939-1911-6,http://link.springer.com/openurl?genre=book&isbn=978-1-4939-1911-6,"Psychology; Child and School Psychology; Assessment, Testing and Evaluation; Social Work; Psychological Methods/Evaluation",Springer New York,Springer
Evidence-Based Interventions for Children with Challenging Behavior,"Kathleen Hague Armstrong, Julia A. Ogg, Ashley N. Sundman-Wheat, Audra St. John Walsh",2014,Graduate/advanced undergraduate textbook,2014,Springer Science+Business Media New York,978-1-4614-7806-5,978-1-4614-7807-2,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-1-4614-7807-2,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-7807-2,"Psychology; Child and School Psychology; Assessment, Testing and Evaluation; Occupational Therapy; Family; Educational Psychology; Speech Pathology",Springer New York,Springer
MATLAB for Psychologists,"Mauro Borgo, Alessandro Soranzo, Massimo Grassi",2012,Graduate/advanced undergraduate textbook,2012,"Springer Science+Business Media, LLC",978-1-4614-2196-2,978-1-4614-2197-9,EN,English/International,11640,Behavioral Science,,,,,,http://doi.org/10.1007/978-1-4614-2197-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4614-2197-9,Psychology; Psychological Methods/Evaluation; Programming Techniques; Statistics and Computing/Statistics Programs; Psychometrics,Springer New York,Springer
