Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Geomorphology of Desert Environments,"Anthony J. Parsons, A. D. Abrahams",2nd ed. 2009,Graduate/advanced undergraduate textbook,2009,Springer Science+Business Media B.V.,978-1-4020-5718-2,978-1-4020-5719-9,EN,English/International,11646,Earth and Environmental Science,,,,,,http://doi.org/10.1007/978-1-4020-5719-9,http://link.springer.com/openurl?genre=book&isbn=978-1-4020-5719-9,Geography; Geomorphology; Physical Geography; Geoecology/Natural Processes; Hydrogeology,Springer Netherlands,Springer
Irrigation and Drainage Engineering,"Peter Waller, Muluneh Yitayew",1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-05698-2,978-3-319-05699-9,EN,English/International,11646,Earth and Environmental Science,,,,,,http://doi.org/10.1007/978-3-319-05699-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-05699-9,"Earth Sciences; Hydrogeology; Water Industry/Water Technologies; Soil Science & Conservation; Geoengineering, Foundations, Hydraulics",Springer International Publishing,Springer
Climate Change Science: A Modern Synthesis,"G. Thomas Farmer, John Cook",2013,Undergraduate textbook,2013,Springer Science+Business Media Dordrecht,978-94-007-5756-1,978-94-007-5757-8,EN,English/International,11646,Earth and Environmental Science,,,,,,http://doi.org/10.1007/978-94-007-5757-8,http://link.springer.com/openurl?genre=book&isbn=978-94-007-5757-8,"Environment; Environment, general; Climate Change/Climate Change Impacts; Earth Sciences, general; Lifelong Learning/Adult Education; Geography, general; Organic Chemistry",Springer Netherlands,Springer
Petroleum Geoscience,Knut Bjørlykke,2nd ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer-Verlag Berlin Heidelberg,978-3-642-34131-1,978-3-642-34132-8,EN,English/International,11646,Earth and Environmental Science,,,,,,http://doi.org/10.1007/978-3-642-34132-8,http://link.springer.com/openurl?genre=book&isbn=978-3-642-34132-8,Earth Sciences; Geology,Springer Berlin Heidelberg,Springer
Plate Tectonics,"Wolfgang Frisch, Martin Meschede, Ronald C. Blakey",2011,Graduate/advanced undergraduate textbook,2011,Springer-Verlag Berlin Heidelberg,978-3-540-76503-5,978-3-540-76504-2,EN,English/International,11646,Earth and Environmental Science,,,,,,http://doi.org/10.1007/978-3-540-76504-2,http://link.springer.com/openurl?genre=book&isbn=978-3-540-76504-2,Earth Sciences; Geology; Structural Geology; Planetology,Springer Berlin Heidelberg,Springer
The Sea Floor,"Eugen Seibold, Wolfgang Berger",4th ed. 2017,Graduate/advanced undergraduate textbook,2017,"Springer International Publishing AG, part of Springer Nature",978-3-319-51411-6,978-3-319-51412-3,EN,English/International,11646,Earth and Environmental Science,,2510-1307,2510-1315,"Springer Textbooks in Earth Sciences, Geography and Environment",,http://doi.org/10.1007/978-3-319-51412-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-51412-3,Earth Sciences; Oceanography; Sedimentology; Ecology; Geoecology/Natural Processes; Marine & Freshwater Sciences,Springer International Publishing,Springer
An Introduction to Soil Mechanics,Arnold Verruijt,1st ed. 2018,Undergraduate textbook,2018,Springer International Publishing AG,978-3-319-61184-6,978-3-319-61185-3,EN,English/International,11646,Earth and Environmental Science,,0924-6118,2213-6940,Theory and Applications of Transport in Porous Media,30.0,http://doi.org/10.1007/978-3-319-61185-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-61185-3,Engineering; Civil Engineering; Hydrogeology; Soil Science & Conservation; Geotechnical Engineering & Applied Earth Sciences,Springer International Publishing,Springer
Sustainability Science,"Harald Heinrichs, Pim Martens, Gerd Michelsen, Arnim Wiek",1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer Science+Business Media Dordrecht,978-94-017-7241-9,978-94-017-7242-6,EN,English/International,11646,Earth and Environmental Science,,,,,,http://doi.org/10.1007/978-94-017-7242-6,http://link.springer.com/openurl?genre=book&isbn=978-94-017-7242-6,"Environment; Sustainable Development; Geoecology/Natural Processes; Social Sciences, general",Springer Netherlands,Springer
Python For ArcGIS,Laura Tateosian,1st ed. 2015,Graduate/advanced undergraduate textbook,2015,Springer International Publishing Switzerland,978-3-319-18397-8,978-3-319-18398-5,EN,English/International,11646,Earth and Environmental Science,,,,,,http://doi.org/10.1007/978-3-319-18398-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-18398-5,"Geography; Geographical Information Systems/Cartography; Programming Languages, Compilers, Interpreters; Information Systems Applications (incl.Internet); Earth Sciences, general",Springer International Publishing,Springer
ArcGIS for Environmental and Water Issues,William Bajjali,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-61157-0,978-3-319-61158-7,EN,English/International,11646,Earth and Environmental Science,,2510-1307,2510-1315,"Springer Textbooks in Earth Sciences, Geography and Environment",,http://doi.org/10.1007/978-3-319-61158-7,http://link.springer.com/openurl?genre=book&isbn=978-3-319-61158-7,Geography; Geographical Information Systems/Cartography; Hydrogeology; Hydrology/Water Resources; Monitoring/Environmental Analysis; Regional/Spatial Science,Springer International Publishing,Springer
