Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
All of Statistics,Larry Wasserman,2004,Graduate/advanced undergraduate textbook,2004,Springer-Verlag New York,978-0-387-40272-7,978-0-387-21736-9,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-0-387-21736-9,http://link.springer.com/openurl?genre=book&isbn=978-0-387-21736-9,"Mathematics; Computational Mathematics and Numerical Analysis; Probability Theory and Stochastic Processes; Complex Systems; Statistical Theory and Methods; Probability and Statistics in Computer Science; Statistics for Engineering, Physics, Computer Science, Chemistry and Earth Sciences",Springer New York,Springer
Discrete Mathematics,"László Lovász, József Pelikán, Katalin Vesztergombi",2003,Undergraduate textbook,2003,Springer-Verlag New York,978-0-387-95584-1,978-0-387-21777-2,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/b97469,http://link.springer.com/openurl?genre=book&isbn=978-0-387-21777-2,Mathematics; Combinatorics; Number Theory,Springer New York,Springer
Numerical Optimization,"Jorge Nocedal, Stephen Wright",2nd ed. 2006,Graduate/advanced undergraduate textbook,2006,Springer-Verlag New York,978-0-387-30303-1,978-0-387-40065-5,EN,English/International,11649,Mathematics and Statistics,,1431-8598,2197-1773,Springer Series in Operations Research and Financial Engineering,,http://doi.org/10.1007/978-0-387-40065-5,http://link.springer.com/openurl?genre=book&isbn=978-0-387-40065-5,"Mathematics; Optimization; Calculus of Variations and Optimal Control; Optimization; Systems Theory, Control; Computational Mathematics and Numerical Analysis; Operations Research/Decision Theory",Springer New York,Springer
Time Series Analysis,"Jonathan D. Cryer, Kung-Sik Chan",2nd ed. 2008,Graduate/advanced undergraduate textbook,2008,Springer-Verlag New York,978-0-387-75958-6,978-0-387-75959-3,EN,English/International,11649,Mathematics and Statistics,,1431-875X,2197-4136,Springer Texts in Statistics,,http://doi.org/10.1007/978-0-387-75959-3,http://link.springer.com/openurl?genre=book&isbn=978-0-387-75959-3,Mathematics; Probability Theory and Stochastic Processes; Statistical Theory and Methods; Actuarial Sciences,Springer New York,Springer
Introductory Statistics with R,Peter Dalgaard,2nd ed. 2008,Undergraduate textbook,2008,Springer-Verlag New York,978-0-387-79053-4,978-0-387-79054-1,EN,English/International,11649,Mathematics and Statistics,,1431-8784,2197-1706,Statistics and Computing,,http://doi.org/10.1007/978-0-387-79054-1,http://link.springer.com/openurl?genre=book&isbn=978-0-387-79054-1,Mathematics; Probability Theory and Stochastic Processes; Statistics and Computing/Statistics Programs; Bioinformatics; Computer Appl. in Life Sciences,Springer New York,Springer
The Elements of Statistical Learning,"Trevor Hastie, Robert Tibshirani, Jerome Friedman",2nd ed. 2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag New York,978-0-387-84857-0,978-0-387-84858-7,EN,English/International,11649,Mathematics and Statistics,,0172-7397,2197-568X,Springer Series in Statistics,,http://doi.org/10.1007/978-0-387-84858-7,http://link.springer.com/openurl?genre=book&isbn=978-0-387-84858-7,Computer Science; Data Mining and Knowledge Discovery; Probability Theory and Stochastic Processes; Statistical Theory and Methods; Computational Biology/Bioinformatics; Computer Appl. in Life Sciences,Springer New York,Springer
Introductory Time Series with R,"Paul S.P. Cowpertwait, Andrew V. Metcalfe",2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag New York,978-0-387-88697-8,978-0-387-88698-5,EN,English/International,11649,Mathematics and Statistics,,2197-5736,2197-5744,Use R!,,http://doi.org/10.1007/978-0-387-88698-5,http://link.springer.com/openurl?genre=book&isbn=978-0-387-88698-5,"Mathematics; Probability Theory and Stochastic Processes; Statistical Theory and Methods; Probability and Statistics in Computer Science; Marketing; Econometrics; Signal, Image and Speech Processing",Springer New York,Springer
A Beginner's Guide to R,"Alain Zuur, Elena N. Ieno, Erik Meesters",2009,Graduate/advanced undergraduate textbook,2009,Springer-Verlag New York,978-0-387-93836-3,978-0-387-93837-0,EN,English/International,11649,Mathematics and Statistics,,2197-5736,2197-5744,Use R!,,http://doi.org/10.1007/978-0-387-93837-0,http://link.springer.com/openurl?genre=book&isbn=978-0-387-93837-0,"Statistics; Statistics and Computing/Statistics Programs; Theoretical Ecology/Statistics; Statistics for Life Sciences, Medicine, Health Sciences",Springer New York,Springer
"Reading, Writing, and Proving","Ulrich Daepp, Pamela Gorkin",2nd ed. 2011,Undergraduate textbook,2011,"Springer Science+Business Media,LLC",978-1-4419-9478-3,978-1-4419-9479-0,EN,English/International,11649,Mathematics and Statistics,,0172-6056,2197-5604,Undergraduate Texts in Mathematics,,http://doi.org/10.1007/978-1-4419-9479-0,http://link.springer.com/openurl?genre=book&isbn=978-1-4419-9479-0,Mathematics; Mathematical Logic and Foundations; Analysis; Number Theory,Springer New York,Springer
Introduction to Partial Differential Equations,David Borthwick,1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing AG,978-3-319-48934-6,978-3-319-48936-0,EN,English/International,11649,Mathematics and Statistics,,0172-5939,2191-6675,Universitext,,http://doi.org/10.1007/978-3-319-48936-0,http://link.springer.com/openurl?genre=book&isbn=978-3-319-48936-0,Mathematics; Partial Differential Equations; Mathematical Applications in the Physical Sciences,Springer International Publishing,Springer
