Book Title,Author,Edition,Product Type,Copyright Year,Copyright Holder,Print ISBN,Electronic ISBN,Language,Language Collection,eBook Package,English Package Name,German Package Name,Series Print ISSN,Series Electronic ISSN,Series Title,Volume Number,DOI URL,OpenURL,Subject Classification,Publisher,Imprint
Philosophy of Science for Scientists,Lars-Göran Johansson,1st ed. 2016,Undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-26549-0,978-3-319-26551-3,EN,English/International,41175,Religion and Philosophy,,2569-8737,2569-8753,Springer Undergraduate Texts in Philosophy,,http://doi.org/10.1007/978-3-319-26551-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-26551-3,Philosophy; Philosophy of Science; History and Philosophical Foundations of Physics; Mathematical Logic and Foundations,Springer International Publishing,Springer
Readings in Formal Epistemology,"Horacio Arló-Costa, Vincent F. Hendricks, Johan van Benthem",1st ed. 2016,Graduate/advanced undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-20450-5,978-3-319-20451-2,EN,English/International,41175,Religion and Philosophy,,2627-6046,2627-6054,Springer Graduate Texts in Philosophy,1.0,http://doi.org/10.1007/978-3-319-20451-2,http://link.springer.com/openurl?genre=book&isbn=978-3-319-20451-2,"Philosophy; Epistemology; Mathematical Logic and Formal Languages; Game Theory, Economics, Social and Behav. Sciences",Springer International Publishing,Springer
The Nature of Scientific Knowledge,Kevin McCain,1st ed. 2016,Undergraduate textbook,2016,Springer International Publishing Switzerland,978-3-319-33403-5,978-3-319-33405-9,EN,English/International,41175,Religion and Philosophy,,2569-8737,2569-8753,Springer Undergraduate Texts in Philosophy,,http://doi.org/10.1007/978-3-319-33405-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-33405-9,Philosophy; Philosophy of Science; Epistemology; Science Education,Springer International Publishing,Springer
Communication and Bioethics at the End of Life,"Lori A. Roscoe, David P. Schenck",1st ed. 2017,Graduate/advanced undergraduate textbook,2017,Springer International Publishing AG,978-3-319-70919-2,978-3-319-70920-8,EN,English/International,41175,Religion and Philosophy,,,,,,http://doi.org/10.1007/978-3-319-70920-8,http://link.springer.com/openurl?genre=book&isbn=978-3-319-70920-8,"Philosophy; Bioethics; Medicine/Public Health, general; Medical Education",Springer International Publishing,Springer
Philosophy of Race,Naomi Zack,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,The Editor(s) (if applicable) and The Author(s),978-3-319-78728-2,978-3-319-78729-9,EN,English/International,41175,Religion and Philosophy,,,,Palgrave Philosophy Today,,http://doi.org/10.1007/978-3-319-78729-9,http://link.springer.com/openurl?genre=book&isbn=978-3-319-78729-9,Philosophy; Critical Theory; African American Culture; Philosophy of Man; Social Philosophy; African Literature,Springer International Publishing,Palgrave Macmillan
Business Ethics - A Philosophical and Behavioral Approach,Christian A. Conrad,1st ed. 2018,Undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-91574-6,978-3-319-91575-3,EN,English/International,41175,Religion and Philosophy,,,,,,http://doi.org/10.1007/978-3-319-91575-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-91575-3,Philosophy; Business Ethics; Business Ethics; Sociology of Work; Business Strategy/Leadership; Industrial and Organizational Psychology; Human Resource Development,Springer International Publishing,Springer
Argumentation Theory: A Pragma-Dialectical Perspective,Frans H. van Eemeren,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-319-95380-9,978-3-319-95381-6,EN,English/International,41175,Religion and Philosophy,,1566-7650,2215-1907,Argumentation Library,33.0,http://doi.org/10.1007/978-3-319-95381-6,http://link.springer.com/openurl?genre=book&isbn=978-3-319-95381-6,Philosophy; Business Ethics; Political Philosophy; Social Philosophy; Moral Philosophy,Springer International Publishing,Springer
Mathematical Logic,Roman Kossak,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer International Publishing AG part of Springer Nature,978-3-319-97297-8,978-3-319-97298-5,EN,English/International,41175,Religion and Philosophy,,2627-6046,2627-6054,Springer Graduate Texts in Philosophy,3.0,http://doi.org/10.1007/978-3-319-97298-5,http://link.springer.com/openurl?genre=book&isbn=978-3-319-97298-5,Philosophy; Philosophy of Mathematics; Mathematical Logic and Foundations; Arithmetic and Logic Structures; Logic; Applications of Mathematics,Springer International Publishing,Springer
Introduction to Formal Philosophy,"Sven Ove Hansson, Vincent F. Hendricks",1st ed. 2018,Undergraduate textbook,2018,"Springer International Publishing AG, part of Springer Nature",978-3-319-77433-6,978-3-319-77434-3,EN,English/International,41175,Religion and Philosophy,,2569-8737,2569-8753,Springer Undergraduate Texts in Philosophy,,http://doi.org/10.1007/978-3-319-77434-3,http://link.springer.com/openurl?genre=book&isbn=978-3-319-77434-3,"Philosophy; Analytic Philosophy; Mathematical Logic and Formal Languages; Mathematical Logic and Foundations; Theoretical, Mathematical and Computational Physics; Moral Philosophy",Springer International Publishing,Springer
Philosophical and Mathematical Logic,Harrie de Swart,1st ed. 2018,Graduate/advanced undergraduate textbook,2018,Springer Nature Switzerland AG,978-3-030-03253-1,978-3-030-03255-5,EN,English/International,41175,Religion and Philosophy,,2569-8737,2569-8753,Springer Undergraduate Texts in Philosophy,,http://doi.org/10.1007/978-3-030-03255-5,http://link.springer.com/openurl?genre=book&isbn=978-3-030-03255-5,Philosophy; Epistemology; Mathematical Logic and Formal Languages; Mathematical Logic and Foundations,Springer International Publishing,Springer
